# Curated RepBase family -> (repFamily, repClass) for the hg38 reference index.
#
# Provenance: columns 1, 4 and 5 of the RepBase block (lines 5277-6500) of
# examples/inputs/hg38/MASTER_FILELIST.20201203...wmiRs.tsv, the 2020 reference file.
# Same derivation style as refdata/repbase18.05-classes.txt and -drop-exact.txt.
#
# WHY IT EXISTS (-475.42): 354 of these 1,224 families have no genomic instances in the
# modern UCSC rmsk track, so no repClass/repFamily is available for them and column 4 --
# the label reads are counted under -- would otherwise fall back to the family's own name,
# splitting e.g. alpha-satellite variants out of centr instead of pooling them.
#
# CIRCULAR: derived from the reference, so it must be EXCLUDED when measuring how well an
# autogenerated hg38 filelist reproduces that reference (-475.22). It is consulted only
# AFTER the rmsk table, so current RepeatMasker calls always win and post-2020
# reclassification stays visible rather than being frozen.
#
# Mouse uses this file too: 170 mouse RepBase families share an exact family name with a
# human one, and 167 of 168 shared names carry the identical RepBase class token in both
# species, so a shared name is the same consensus family.
family	repFamily	repClass
CHARLIE15A	hAT-Charlie	DNA
ALUYB8	Alu	SINE
MER41B	ERV1	LTR
L1PB2	L1	LINE
MER21B	ERVL	LTR
MER46C	TcMar-Tigger	DNA
TIGGER2	TcMar-Tigger	DNA
MLT1G3	ERVL-MaLR	LTR
MLT1G	ERVL-MaLR	LTR
LTR12C	ERV1	LTR
LTR16A1	ERVL	LTR
CHARLIE5	hAT-Charlie	DNA
MER41A	ERV1	LTR
MER115	hAT-Tip100	DNA
MER58C	hAT-Charlie	DNA
LTR50	ERVL	LTR
MER50	ERV1	LTR
TIGGER3C	TcMar-Tigger	DNA
LTR16E1	ERVL	LTR
MER63B	hAT-Blackjack	DNA
CHARLIE18A	hAT-Charlie	DNA
MER44A	TcMar-Tigger	DNA
MAMREP137	TcMar-Tigger	DNA
MER4A1	ERV1	LTR
LTR16E2	ERVL	LTR
BLACKJACK	hAT-Blackjack	DNA
TIGGER2B_PRI	TcMar-Tigger	DNA
MLT2B2	ERVL	LTR
LTR33A	ERVL	LTR
MER96B	hAT-Tip100	DNA
MER104	TcMar-Tc2	DNA
MER44B	TcMar-Tigger	DNA
MLT1M	ERVL-MaLR	LTR
ALUSQ10	Alu	SINE
CHARLIE2A	hAT-Charlie	DNA
ZAPHOD	hAT-Tip100	DNA
MER2B	TcMar-Tigger	DNA
LTR37B	ERV1	LTR
MER21A	ERVL	LTR
MAMREP434	TcMar-Tigger	DNA
MAMREP38	hAT	DNA
LTR37A	ERV1	LTR
ALUYF1	Alu	SINE
LTR40A	ERVL	LTR
MER8	TcMar-Tigger	DNA
MLT2F	ERVL	LTR
CHARLIE16A	hAT-Charlie	DNA
CHARLIE1	hAT-Charlie	DNA
ALUSQ4	Alu	SINE
HSMAR2	TcMar-Mariner	DNA
LTR16A2	ERVL	LTR
LTR85A	Gypsy	LTR
L1PA12	L1	LINE
MER4B	ERV1	LTR
MER63D	hAT-Blackjack	DNA
TIGGER16A	TcMar-Tigger	DNA
MER67C	ERV1	LTR
L1HS	L1	LINE
LTR16B2	ERVL	LTR
CR1_MAM	CR1	LINE
LTR8B	ERV1	LTR
MER91C	hAT-Tip100	DNA
MER74A	ERVL	LTR
LTR33B	ERVL	LTR
MER91B	hAT-Tip100	DNA
MER4D1	ERV1	LTR
LTR88B	Gypsy	LTR
SVA_D	SVA	SVA
CHARLIE19A	hAT-Charlie	DNA
KANGA2_A	TcMar-Tc2	DNA
LTR49	ERV1	LTR
MER31B	ERV1	LTR
MER66B	ERV1	LTR
MER65A	ERV1	LTR
MLT1J-INT	ERVL-MaLR	LTR
LTR8A	ERV1	LTR
MER34A	ERV1	LTR
MER49	ERV1	LTR
MER52A	ERV1	LTR
MER89	ERV1	LTR
MER77	ERVL	LTR
CHARLIE9	hAT-Charlie	DNA
CHARLIE24	hAT-Charlie	DNA
ALUYE5	Alu	SINE
MLT2C2	ERVL	LTR
MER31A	ERV1	LTR
MER4D	ERV1	LTR
MER5C	hAT-Charlie	DNA
MER34	ERV1	LTR
ALUYK11	Alu	SINE
MER45B	hAT-Tip100	DNA
LTR39	ERV1	LTR
MER96	hAT-Tip100	DNA
MAMREP1527	LTR	LTR
ZAPHOD3	hAT-Tip100	DNA
LTR32	ERVL	LTR
MER45C	hAT-Tip100	DNA
ORSL	hAT-Tip100	DNA
TIGGER16B	TcMar-Tigger	DNA
TIGGER14A	TcMar-Tigger	DNA
MAMREP4096	hAT-Tip100	DNA
MER39B	ERV1	LTR
MER119	hAT-Charlie	DNA
UCON132B	hAT	DNA
LTR84B	ERVL	LTR
MER70B	ERVL	LTR
LTR41	ERVL	LTR
LTR16B1	ERVL	LTR
CHARLIE10	hAT-Charlie	DNA
MER58D	hAT-Charlie	DNA
LTR85B	Gypsy	LTR
MAMGYPLTR1B	Gypsy	LTR
LTR82B	ERVL	LTR
LTR54	ERV1	LTR
LTR81B	Gypsy	LTR
MER57B2	ERV1	LTR
LTR40B	ERVL	LTR
CHARLIE17A	hAT-Charlie	DNA
SVA_A	SVA	SVA
CHESHIRE	hAT-Charlie	DNA
MER4E1	ERV1	LTR
LTR52	ERVL	LTR
CHARLIE25	hAT-Charlie	DNA
LTR89	ERVL	LTR
LTR16D	ERVL	LTR
ERV3-16A3_LTR	ERVL	LTR
HELITRON3NA_MAM	Helitron	RC
MLT1E1	ERVL-MaLR	LTR
MER57A1	ERV1	LTR
LTR85C	Gypsy	LTR
MER131	DNA	DNA
MAMGYPLTR1C	Gypsy	LTR
CHARLIE22A	hAT-Charlie	DNA
MAMGYPLTR1A	Gypsy	LTR
LTR56	ERV1	LTR
X6A_LINE	CR1	LINE
TIGGER10	TcMar-Tigger	DNA
LTR82A	ERVL	LTR
MER6A	TcMar-Tigger	DNA
SVA_F	SVA	SVA
MER57B1	ERV1	LTR
MER67D	ERV1	LTR
MAMGYPLTR2C	Gypsy	LTR
LTR48B	ERV1	LTR
LTR48	ERV1	LTR
MER11A	ERVK	LTR
LTR81A	Gypsy	LTR
MER74B	ERVL	LTR
LTR88C	Gypsy	LTR
TIGGER12	TcMar-Tigger	DNA
MER11C	ERVK	LTR
MER4CL34	ERV1	LTR
MER51A	ERV1	LTR
LTR33C	ERVL	LTR
MER85	PiggyBac	DNA
X7A_LINE	CR1	LINE
MER4A	ERV1	LTR
TIGGER8	TcMar-Tigger	DNA
MER121	hAT	DNA
X7B_LINE	CR1	LINE
LTR2	ERV1	LTR
ALUYG6	Alu	SINE
MLT1E	ERVL-MaLR	LTR
LTR7B	ERV1	LTR
KANGA11A	TcMar-Tc2	DNA
MER63C	hAT-Blackjack	DNA
MER44C	TcMar-Tigger	DNA
LTR41B	ERVL	LTR
LTR54B	ERV1	LTR
LTR23	ERV1	LTR
LTR1A2	ERV1	LTR
SVA_B	SVA	SVA
X6B_LINE	CR1	LINE
LTR17	ERV1	LTR
MAMGYPLTR2B	Gypsy	LTR
