# Curated RepBase family -> (repFamily, repClass) for the hg38 reference index.
#
# Provenance: columns 1, 4 and 5 of the RepBase block (lines 5277-6500) of
# examples/inputs/hg38/MASTER_FILELIST.20201203...wmiRs.tsv, the 2020 reference file.
# Same derivation style as refdata/repbase18.05-classes.txt and -drop-exact.txt.
#
# WHY IT EXISTS (-475.42): 354 of these 1,224 families have no genomic instances in the
# modern UCSC rmsk track, so no repClass/repFamily is available for them and column 4 --
# the label reads are counted under -- would otherwise fall back to the family's own name,
# splitting e.g. alpha-satellite variants out of centr instead of pooling them.
#
# CIRCULAR: derived from the reference, so it must be EXCLUDED when measuring how well an
# autogenerated hg38 filelist reproduces that reference (-475.22). It is consulted only
# AFTER the rmsk table, so current RepeatMasker calls always win and post-2020
# reclassification stays visible rather than being frozen.
#
# Mouse uses this file too: 170 mouse RepBase families share an exact family name with a
# human one, and 167 of 168 shared names carry the identical RepBase class token in both
# species, so a shared name is the same consensus family.
family	repFamily	repClass
X7D_LINE	CR1	LINE
EULOR12	DNA	DNA
UCON99	DNA	DNA
UCON76	Unknown	Unknown
UCON46	Unknown	Unknown
LTR21B	ERV1	LTR
UCON77	Unknown	Unknown
MER133A	DNA	DNA
UCON72	Unknown	Unknown
UCON15	Unknown	Unknown
UCON9	Unknown	Unknown
UCON25	Unknown	Unknown
LTR60	ERV1	LTR
UCON79	hAT	DNA
MER123	DNA	DNA
UCON89	Unknown	Unknown
UCON59	Unknown	Unknown
UCON80	Unknown	Unknown
UCON11	TcMar-Tigger	DNA
LTR47B	ERVL	LTR
UCON20	Unknown	Unknown
U8	SNORD	SNORD
UCON51	Unknown	Unknown
UCON43	Unknown	Unknown
LTR22B2	ERVK	LTR
UCON81	hAT	DNA
UCON97	Unknown	Unknown
EULOR5B	DNA	DNA
MER9B	ERVK	LTR
MER133B	DNA	DNA
UCON16	Unknown	Unknown
GSAT	centr	Satellite
UCON22	Unknown	Unknown
LTR21C	ERV1	LTR
EULOR3	DNA	DNA
UCON60	Unknown	Unknown
EULOR10	DNA	DNA
MER132	TcMar-Pogo	DNA
UCON82	Unknown	Unknown
UCON88	Unknown	Unknown
UCON83	Unknown	Unknown
UCON65	Unknown	Unknown
EULOR2C	DNA	DNA
X12_DNA	TcMar-Mariner	DNA
UCON101	Unknown	Unknown
UCON17	Unknown	Unknown
UCON19	Unknown	Unknown
UCON94	Unknown	Unknown
UCON18	Unknown	Unknown
EULOR6E	DNA	DNA
UCON23	hAT-Tip100	DNA
MER136	DNA	DNA
UCON93	Unknown	Unknown
EULOR4	Unknown	Unknown
EULOR6A	DNA	DNA
LTR5	ERVK	LTR
UCON85	Unknown	Unknown
UCON69	Unknown	Unknown
UCON50	hAT	DNA
UCON21	DNA	DNA
EULOR9B	DNA	DNA
UCON62	Unknown	Unknown
UCON12A	Unknown	Unknown
CHARLIE12	hAT-Charlie	DNA
UCON58	Unknown	Unknown
UCON67	Unknown	Unknown
UCON24	Unknown	Unknown
UCON57	Unknown	Unknown
UCON75	Unknown	Unknown
UCON100	DNA	DNA
EULOR6C	DNA	DNA
UCON96	Unknown	Unknown
X26_DNA	TcMar-Mariner	DNA
UCON92	Unknown	Unknown
HSAT6	Satellite	Satellite
UCON71	Unknown	Unknown
UCON64	Unknown	Unknown
LTR22C	ERVK	LTR
UCON61	Unknown	Unknown
UCON56	Unknown	Unknown
ALUYB10	Alu	SINE
UCON63	Unknown	Unknown
EUTR10	Eutr	Eutr
EUTR16	Eutr	Eutr
LTR7A	ERV1	LTR
X6A_DNA	DNA	DNA
UCON103	Unknown	Unknown
EUTR11	Eutr	Eutr
X6B_DNA	DNA	DNA
SAR	Satellite	Satellite
EUTREP7	Eutr	Eutr
EUTHAT-2	hAT	DNA
EULOR7	DNA	DNA
UCON68	Unknown	Unknown
X11_DNA	DNA	DNA
EUTREP2	Eutr	Eutr
HERV1_LTRB	ERV1	LTR
ALUYB8A1	Alu	SINE
X9B_DNA	DNA	DNA
X9A_DNA	DNA	DNA
X4B_DNA	DNA	DNA
EUTR5	Eutr	Eutr
X17_LINE	CR1	LINE
U14	U14	U14
X24_LINE	L2	LINE
X1_DNA	TcMar-Mariner	DNA
EUTR18	Eutr	Eutr
X30_DNA	DNA	DNA
X32_DNA	TcMar-Mariner	DNA
UCON87	Unknown	Unknown
EUTHAT-N1	hAT	DNA
EUTR15	Eutr	Eutr
X4A_DNA	DNA	DNA
MARE4	TcMar-Mariner	DNA
X15_LINE	CR1	LINE
EUTREP8	Eutr	Eutr
X5A_DNA	DNA	DNA
X12_LINE	CR1	LINE
MARE8	TcMar-Mariner	DNA
EUTREP14	Eutr	Eutr
X34_DNA	DNA	DNA
EUTREP15	Eutr	Eutr
EUTREP16	Eutr	Eutr
X2A_DNA	DNA	DNA
ALUYB11	Alu	SINE
EUTR2	Eutr	Eutr
EUTREP6	Eutr	Eutr
X2B_DNA	DNA	DNA
X21_LINE	CR1	LINE
X23_DNA	DNA	DNA
MARE6	TcMar-Mariner	DNA
X24_DNA	DNA	DNA
MER31_I	ERV1	LTR
L1M6_5END	L1	LINE
UCON28	Unknown	Unknown
MER22	centr	Satellite
HERVL	ERVL	LTR
CR1_HS	CR1	LINE
EUTR6	Eutr	Eutr
L1MED_5	L1	LINE
ZOMBI	TcMar-Mariner	DNA
TIGGER9	TcMar-Tigger	DNA
MARE7	TcMar-Mariner	DNA
ALINE	RTE	LINE
PABL_BI	ERV1	LTR
L1MEE_5END	L1	LINE
L1P4B_5END	L1	LINE
L1PA12_5	L1	LINE
ALUYE2	Alu	SINE
EULOR12B_CM	DNA	DNA
MARE11	TcMar-Mariner	DNA
ZOMBI_C	TcMar-Mariner	DNA
EUTR14	Eutr	Eutr
MER89I	ERV1	LTR
MER122	DNA	DNA
ALUYB3A1	Alu	SINE
PRIMAX_I	ERV1	LTR
MER69A	hAT	DNA
MER50I	ERV1	LTR
HERVL74	ERVL	LTR
L1P4D_5END	L1	LINE
ALR2	centr	Satellite
EUTR17	Eutr	Eutr
X13_DNA	TcMar-Mariner	DNA
L31	Other	Other
MER101_I	ERV1	LTR
HERV16	ERV1	LTR
MER80	hAT	DNA
X31_DNA	DNA	DNA
MER52AI	ERV1	LTR
X13_LINE	CR1	LINE
HERV57I	ERV1	LTR
UCON32	Unknown	Unknown
MER74	ERVL	LTR
UCON36	Unknown	Unknown
E3	snRNA	snRNA
L1MD1_5	L1	LINE
PB1D11	SINE	SINE
MER4D_LTR	ERV1	LTR
L1MEF_5END	L1	LINE
PTR5	LTR	LTR
MER41I	ERV1	LTR
ZOMBI_A	TcMar-Mariner	DNA
L4	RTE	LINE
UCON10	Unknown	Unknown
UCON3	SINE	SINE
X27_DNA	DNA	DNA
EUTR12	Eutr	Eutr
L1P_MA2	L1	LINE
X10B_DNA	TcMar-Mariner	DNA
HARLEQUINLTR	ERV1	LTR
MER21C_BT	ERVL	LTR
L1MCB_5	L1	LINE
MER90A_LTR	ERV1	LTR
HY1_SINE	YRNA	YRNA
HERV19I	ERV1	LTR
CHARLIE2	hAT-Charlie	DNA
MER106	hAT-Charlie	DNA
UCON102	Unknown	Unknown
MER4I	ERV1	LTR
L1PREC1	L1	LINE
ALUSG1	Alu	SINE
L1PBA1_5	L1	LINE
MER103B	hAT-Charlie	DNA
X20_LINE	CR1	LINE
UCON52	hAT	DNA
L1MCC_5	L1	LINE
L1ME_ORF2	L1	LINE
EUTREP1	Eutr	Eutr
L1M7_5END	L1	LINE
L1MB4_5	L1	LINE
LTR77B	ERV1	LTR
Y4	YRNA	YRNA
BSRB	Satellite	Satellite
LTR1C2	ERV1	LTR
RPS2	Other	Other
THER1	MIR	SINE
UCON90	Unknown	Unknown
MST_I	ERVL-MaLR	LTR
MER69B	hAT	DNA
L1M2C_5	L1	LINE
SUBTEL_SAT	Satellite	Satellite
L1M2B_5	L1	LINE
L1M2A1_5	L1	LINE
ALUYD3	Alu	SINE
XBR	Other	Other
ALUYC1	Alu	SINE
MER104A	TcMar-Tc2	DNA
ALUYK13	Alu	SINE
MER4BI	ERV1	LTR
L1PA13_5	L1	LINE
EUTHAT-1	hAT	DNA
HERV-FC2	ERV1	LTR
MARE3	TcMar-Mariner	DNA
X3_LINE	RTE-BovB	LINE
THE1_I	ERVL-MaLR	LTR
MAMGYPLTR2	Gypsy	LTR
HERVP71A_I	ERV1	LTR
MER65I	ERV1	LTR
LOR1I	ERV1	LTR
AMNSINE1_HS	Deu	SINE
X5B_DNA	DNA	DNA
EUTREP12	Eutr	Eutr
UCON104	TcMar-Mariner	DNA
HERVS71	ERV1	LTR
L23	Other	Other
SVA2	SVA	SVA
EUTREP3	Eutr	Eutr
L1MB3_5	L1	LINE
LOR1B_LTR	ERV1	LTR
SUBTEL2_SAT	Satellite	Satellite
CHARLIE27	hAT-Charlie	DNA
EUTR13	Eutr	Eutr
L1P4C_5END	L1	LINE
HERV-K14I	ERVK	LTR
X7_DNA	hAT	DNA
ALUYF2	Alu	SINE
EUTHAT-2B	hAT	DNA
TIGGER5_B	TcMar-Tigger	DNA
MER21I	ERVL	LTR
L23A	Other	Other
EUTR8	Eutr	Eutr
EUTR1	Eutr	Eutr
HERV30I	ERV1	LTR
MER41F	ERV1	LTR
GOLEM_B	TcMar-Mariner	DNA
EUTR3	Eutr	Eutr
L1MEC_5	L1	LINE
X19_LINE	CR1	LINE
UCON132A	hAT	DNA
L1PA7_5	L1	LINE
X15_DNA	hAT	DNA
L1MCA_5	L1	LINE
MARE1	TcMar-Mariner	DNA
HERVE_A	ERV1	LTR
HERVG25	ERV1	LTR
MER61I	ERV1	LTR
HERVL66I	ERVL	LTR
X3_LR	LTR	LTR
CHARLIE8A	hAT-Charlie	DNA
LMESINE1C	SINE	SINE
TIGGER5A	TcMar-Tigger	DNA
MER104C	TcMar-Tc2	DNA
HUERS-P3	ERV1	LTR
L7	Other	Other
MER57I	ERV1	LTR
HERVH48I	ERV1	LTR
MER25	L1	LINE
ALUYB3A2	Alu	SINE
UCON106	Unknown	Unknown
ERVL	ERVL	LTR
HERVE	ERV1	LTR
L1PBB_5	L1	LINE
EUTREP10	Eutr	Eutr
L1ME3D_3END	L1	LINE
ALRA_	centr	Satellite
MER34B_I	ERV1	LTR
L1MEB_5	L1	LINE
EUTREP5	Eutr	Eutr
CHESHIRE_A	hAT-Charlie	DNA
MER68A	ERVL	LTR
ALUYA4	Alu	SINE
MLT1_I	ERVL-MaLR	LTR
X29A_DNA	DNA	DNA
HERVFH21I	ERV1	LTR
HERV38I	ERV1	LTR
UCON42	TcMar-Mariner	DNA
X29B_DNA	DNA	DNA
X18_DNA	DNA	DNA
HERV35I	ERV1	LTR
MER103	hAT-Charlie	DNA
HERV46I	ERV1	LTR
L1PA14_5	L1	LINE
MER110I	ERV1	LTR
HERVIP10F	ERV1	LTR
MLT1C1	ERVL-MaLR	LTR
HERVK11DI	ERVK	LTR
UCON95	hAT	DNA
HSFAU	HSFAU	Other
L1	L1	LINE
ALUYBC3A	Alu	SINE
L1M2A_5	L1	LINE
MER52B	ERV1	LTR
X1_LR	LTR	LTR
L1PBA_5	L1	LINE
LTR11	ERV	LTR
X5A_LINE	CR1	LINE
HERV-K14CI	ERVK	LTR
L1MEG_5END	L1	LINE
ZOMBI_B	TcMar-Mariner	DNA
X9C_DNA	DNA	DNA
MER80B	hAT	DNA
L1ME5_3END	L1	LINE
EUTREP4	Eutr	Eutr
UHG	snRNA	snRNA
ALUYA1	Alu	SINE
HERV4_LTR	ERV1	LTR
ERVL-B4	ERVL	LTR
THER2	MIR	SINE
HERVH	ERV1	LTR
CR1L	CR1	LINE
MARE10	TcMar-Mariner	DNA
PRIMA4_I	ERV1	LTR
RLTR10C	ERV2	LTR
L1PA17_5	L1	LINE
EUTR9	Eutr	Eutr
L1MEA_5	L1	LINE
HERV4_I	ERV1	LTR
SN5	centr	Satellite
MER4A1_LTR	ERV1	LTR
HERV3	ERV1	LTR
ALR1	centr	Satellite
LOR1A_LTR	ERV1	LTR
ERVL-E	ERVL	LTR
ALUYC5	Alu	SINE
HERVK3I	ERVK	LTR
L1M3D_5	L1	LINE
HERV1_I	ERV1	LTR
L28	Other	Other
L1MB6_5	L1	LINE
HERV52I	ERV1	LTR
L1MC4B	L1	LINE
CYCLO	Unknown	Unknown
L1P4E_5END	L1	LINE
LTR43_I	ERV1	LTR
HSTC2	TcMar-Mariner	DNA
HERVK22I	ERVK	LTR
HERVK9I	ERVK	LTR
MER84I	ERV1	LTR
L1ME3C_3END	L1	LINE
ALR	centr	Satellite
MER54	ERVL	LTR
EUTREP13	Eutr	Eutr
L1MC4_5END	L1	LINE
HERV9	ERV1	LTR
HERVIP10FH	ERV1	LTR
RMER10B	ERV3	LTR
MER70_I	ERVL	LTR
HERV17	ERV1	LTR
LOR1	ERV1	LTR
KER	KER	Other
MER83AI	ERV1	LTR
HUERS-P1	ERV1	LTR
HERV49I	ERV1	LTR
EUTR7	Eutr	Eutr
MER57A_I	ERV1	LTR
ALRB	centr	Satellite
GOLEM	TcMar-Mariner	DNA
MER9	ERVK	LTR
L1P4A_5END	L1	LINE
TIGGER5_A	TcMar-Tigger	DNA
BSRA	Satellite	Satellite
HARLEQUIN	ERV1	LTR
UCON45	Unknown	Unknown
IN25	L1	LINE
E2	snRNA	snRNA
HERV1_LTR	ERV1	LTR
L1M1B_5	L1	LINE
X25_DNA	DNA	DNA
PRIMA41	ERV1	LTR
HERVKC4	ERVK	LTR
ERV3-16A3_I	ERVL	LTR
BSRF	Satellite	Satellite
MSTA2	ERVL-MaLR	LTR
MER21	ERVL	LTR
HERVFH19I	ERV1	LTR
MER83BI	ERV1	LTR
X17_DNA	Unknown	Unknown
MER68_I	ERVL	LTR
CHARLIE28	hAT-Charlie	DNA
X2_LR	LTR	LTR
FLAM	Alu	SINE
XTR	Other	Other
EUTREP11	Eutr	Eutr
L1ME3F_3END	L1	LINE
MER28	DNA	DNA
L1ME3E_3END	L1	LINE
UCON98	Unknown	Unknown
EULOR12_CM	DNA	DNA
ALUYC2	Alu	SINE
X21_DNA	hAT	DNA
X28_DNA	DNA	DNA
X18_LINE	CR1	LINE
ALRA	centr	Satellite
HERVK	ERVK	LTR
MER82	TcMar-Tigger	DNA
L1MEE_5	L1	LINE
HERVL_40	ERVL	LTR
MER69C	hAT	DNA
L1ME4	L1	LINE
X22_DNA	DNA	DNA
L37	Other	Other
L1M3DE_5	L1	LINE
CHESHIRE_B	hAT-Charlie	DNA
MLT1H_I	ERVL-MaLR	LTR
HERV23	ERV1	LTR
L1M3B_5	L1	LINE
UCON91	Unknown	Unknown
GOLEM_C	TcMar-Mariner	DNA
EUTR4	Eutr	Eutr
MARE5	TcMar-Mariner	DNA
HERV15I	ERV1	LTR
ALR_	centr	Satellite
MER35	Other	Other
MER104B	TcMar-Tc2	DNA
X11_LINE	CR1	LINE
E1	snRNA	snRNA
X33A_DNA	TcMar-Mariner	DNA
L1MA9_5	L1	LINE
RLTR10B	ERV2	LTR
L1M3C_5	L1	LINE
ALUYD3A1	Alu	SINE
X4_LINE	CR1	LINE
X20_DNA	DNA	DNA
L1MDB_5	L1	LINE
L1M6B_5END	L1	LINE
GOLEM_A	TcMar-Mariner	DNA
HERVK11I	ERVK	LTR
DEUSINE	SINE	SINE
PABL_AI	ERV1	LTR
L1M3A_5	L1	LINE
MARE9	TcMar-Mariner	DNA
BSRD	Satellite	Satellite
HUERS-P3B	ERV1	LTR
MER45	hAT-Tip100	DNA
HERV39	ERV1	LTR
MER93	LTR	LTR
HERVI	ERV1	LTR
MER51I	ERV1	LTR
MLT1G2	ERVL-MaLR	LTR
L1PB2C	L1	LINE
MER66_I	ERV1	LTR
HERV-FC1	ERV1	LTR
EUTTC1-N1	TcMar-Mariner	DNA
HERVK13I	ERVK	LTR
MER31	ERV1	LTR
X4_LR	LTR	LTR
L7A	Other	Other
UCON13	Penelope	LINE
L3B_3END	CR1	LINE
L1M2_5	L1	LINE
HSATII	Satellite	Satellite
HUERS-P2	ERV1	LTR
BSR	Satellite	Satellite
X10A_DNA	TcMar-Mariner	DNA
ALUYD2	Alu	SINE
LTR16E	ERVL	LTR
MER116	DNA	DNA
MLT1F_I	ERVL-MaLR	LTR
LMESINE1B	SINE	SINE
ALUYF5	Alu	SINE
HERV18	ERV1	LTR
L1MDA_5	L1	LINE
HERVL68	ERVL	LTR
L1PA16_5	L1	LINE
L1M1_5	L1	LINE
